64279, 6641, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64281, 6641, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64351, 6654, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64357, 6654, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64359, 6654, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64365, 6654, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64366, 6654, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64368, 6654, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
64369, 6654, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
64370, 6654, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64372, 6654, 'View Name', '', 0, '<Revision Schedule> 5', '', 'String', 'Identity Data', '', 'Text'
64440, 6664, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64442, 6664, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
64450, 6664, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64451, 6664, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64453, 6664, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64454, 6664, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64455, 6664, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64457, 6664, 'View Name', '', 0, '<Revision Schedule> 6', '', 'String', 'Identity Data', '', 'Text'
64459, 6664, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
64526, 6674, 'Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64533, 6674, 'Family', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64534, 6674, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
64537, 6674, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
64538, 6674, 'Family and Type', '', 0, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64540, 6674, 'Type Id', '', 1, 'Schedule', '49560', 'ElementId', 'Other', '', 'Invalid'
64542, 6674, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
64543, 6674, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
64545, 6674, 'View Name', '', 0, '<Revision Schedule> 7', '', 'String', 'Identity Data', '', 'Text'
74255, 6970, 'Drawn By', '', 0, 'AA', '', 'String', 'Identity Data', '', 'Text'
74257, 6970, 'Type Id', '', 1, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74262, 6970, 'Family', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74268, 6970, 'Sheet Number', '', 0, 'S001', '', 'String', 'Identity Data', '', 'Text'
74269, 6970, 'Sheet Issue Date', '', 0, '02/03/15', '', 'String', 'Identity Data', '', 'Text'
74270, 6970, 'Checked By', '', 0, 'JLH', '', 'String', 'Identity Data', '', 'Text'
74277, 6970, 'Designed By', '', 0, 'Designer', '', 'String', 'Identity Data', '', 'Text'
74278, 6970, 'Approved By', '', 0, 'Approver', '', 'String', 'Identity Data', '', 'Text'
74281, 6970, 'Referencing Sheet', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74283, 6970, 'Current Revision', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74285, 6970, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
74287, 6970, 'Current Revision Issued By', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74288, 6970, 'Referencing Detail', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74289, 6970, 'Appears In Sheet List', '', 0, '1', '1', 'Integer', 'Identity Data', '', 'Yes/No'
74290, 6970, 'Current Revision Date', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74292, 6970, 'Current Revision Issued To', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74293, 6970, 'Scale', '', 1, ' 1 : 10', '', 'String', 'Graphics', '', 'Text'
74294, 6970, 'File Path', '', 1, 'C:\\Program Files\\Autodesk\\Revit 2016\\Samples\\rst_basic_sample_project.rvt', '', 'String', 'Other', '', 'Text'
74295, 6970, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
74298, 6970, 'Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74299, 6970, 'Family and Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74300, 6970, 'Sheet Name', '', 0, 'Title Sheet', '', 'String', 'Identity Data', '', 'Text'
74301, 6970, 'Current Revision Issued', '', 1, '0', '0', 'Integer', 'Identity Data', '', 'Yes/No'
74302, 6970, 'Current Revision Description', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74303, 6970, 'Learning Content', 'b4f5baf1-f62e-44ac-ad59-f1b2e62da7c5', 0, None, '', 'String', 'Other', '', 'URL'
74304, 6970, 'None', '', 0, 'Title Sheet', '1456981', 'ElementId', 'Other', '', 'Invalid'
74305, 6970, 'Guide Grid', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
74322, 6971, 'Current Revision Issued To', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74325, 6971, 'Current Revision Date', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74328, 6971, 'Referencing Sheet', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74332, 6971, 'Sheet Number', '', 0, 'S101', '', 'String', 'Identity Data', '', 'Text'
74338, 6971, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
74347, 6971, 'Designed By', '', 0, 'Designer', '', 'String', 'Identity Data', '', 'Text'
74348, 6971, 'Sheet Issue Date', '', 0, '02/03/15', '', 'String', 'Identity Data', '', 'Text'
74349, 6971, 'Approved By', '', 0, 'Approver', '', 'String', 'Identity Data', '', 'Text'
74351, 6971, 'Drawn By', '', 0, 'Author', '', 'String', 'Identity Data', '', 'Text'
74352, 6971, 'Current Revision', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74353, 6971, 'Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74355, 6971, 'Type Id', '', 1, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74357, 6971, 'Sheet Name', '', 0, 'Framing Plans', '', 'String', 'Identity Data', '', 'Text'
74359, 6971, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
74361, 6971, 'Guide Grid', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
74363, 6971, 'Learning Content', 'b4f5baf1-f62e-44ac-ad59-f1b2e62da7c5', 0, None, '', 'String', 'Other', '', 'URL'
74364, 6971, 'Referencing Detail', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74366, 6971, 'Scale', '', 1, ' 1 : 100', '', 'String', 'Graphics', '', 'Text'
74367, 6971, 'Current Revision Description', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74368, 6971, 'Family and Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74369, 6971, 'Current Revision Issued By', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74370, 6971, 'Checked By', '', 0, 'Checker', '', 'String', 'Identity Data', '', 'Text'
74371, 6971, 'File Path', '', 1, 'C:\\Program Files\\Autodesk\\Revit 2016\\Samples\\rst_basic_sample_project.rvt', '', 'String', 'Other', '', 'Text'
74373, 6971, 'Family', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74374, 6971, 'Current Revision Issued', '', 1, '0', '0', 'Integer', 'Identity Data', '', 'Yes/No'
74375, 6971, 'Appears In Sheet List', '', 0, '1', '1', 'Integer', 'Identity Data', '', 'Yes/No'
74376, 6971, 'None', '', 0, 'Framing Plans', '1457032', 'ElementId', 'Other', '', 'Invalid'
74393, 6972, 'Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74398, 6972, 'Drawn By', '', 0, 'Author', '', 'String', 'Identity Data', '', 'Text'
74409, 6972, 'Referencing Detail', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74410, 6972, 'Checked By', '', 0, 'Checker', '', 'String', 'Identity Data', '', 'Text'
74413, 6972, 'Family', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74414, 6972, 'Current Revision Issued By', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74417, 6972, 'Current Revision Issued To', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74418, 6972, 'Sheet Name', '', 0, 'Upper House Framing', '', 'String', 'Identity Data', '', 'Text'
74419, 6972, 'Sheet Issue Date', '', 0, '02/03/15', '', 'String', 'Identity Data', '', 'Text'
74421, 6972, 'Sheet Number', '', 0, 'S201', '', 'String', 'Identity Data', '', 'Text'
74422, 6972, 'Current Revision Date', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74423, 6972, 'Type Id', '', 1, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74425, 6972, 'Referencing Sheet', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74431, 6972, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
74432, 6972, 'Designed By', '', 0, 'Designer', '', 'String', 'Identity Data', '', 'Text'
74433, 6972, 'Type Name', '', 1, None, '', 'String', 'Identity Data', '', 'Text'
74434, 6972, 'Family and Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74436, 6972, 'Current Revision', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74437, 6972, 'Learning Content', 'b4f5baf1-f62e-44ac-ad59-f1b2e62da7c5', 0, None, '', 'String', 'Other', '', 'URL'
74438, 6972, 'Scale', '', 1, 'As indicated', '', 'String', 'Graphics', '', 'Text'
74439, 6972, 'File Path', '', 1, 'C:\\Program Files\\Autodesk\\Revit 2016\\Samples\\rst_basic_sample_project.rvt', '', 'String', 'Other', '', 'Text'
74441, 6972, 'Approved By', '', 0, 'Approver', '', 'String', 'Identity Data', '', 'Text'
74442, 6972, 'Guide Grid', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
74443, 6972, 'None', '', 0, 'Upper House Framing', '1457049', 'ElementId', 'Other', '', 'Invalid'
74444, 6972, 'Current Revision Issued', '', 1, '0', '0', 'Integer', 'Identity Data', '', 'Yes/No'
74446, 6972, 'Appears In Sheet List', '', 0, '1', '1', 'Integer', 'Identity Data', '', 'Yes/No'
74447, 6972, 'Current Revision Description', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74463, 6973, 'Family and Type', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74477, 6973, 'Guide Grid', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
74478, 6973, 'Sheet Number', '', 0, 'S202', '', 'String', 'Identity Data', '', 'Text'
74481, 6973, 'Family', '', 0, 'Sheet', '49561', 'ElementId', 'Other', '', 'Invalid'
74482, 6973, 'Current Revision Issued', '', 1, '0', '0', 'Integer', 'Identity Data', '', 'Yes/No'
